matrix_name,rows,procs,computation_time,communication_time,max_vol,min_vol,avg_vol,max_load,min_load,avg_load,max_mem_KB,min_mem_KB,avg_mem_KB
af_shell7.mtx,504855,1,9.007692,0.009775,0,0,0.000000,9046865,9046865,9046865.000000,115878.402344,115878.402344,115878.402344
af_shell7.mtx,504855,2,7.040501,22.296667,504721,504721,504721.000000,4538469,4508396,4523432.500000,61072.812500,60720.292969,60896.552734
af_shell7.mtx,504855,4,3.121614,37.413359,756881,756879,756880.500000,2269421,2254112,2261716.250000,33494.742188,33315.410156,33404.450195
af_shell7.mtx,504855,8,1.439333,43.366909,868548,868221,868389.000000,1134957,1126767,1130858.125000,19623.007812,19522.449219,19573.020508
af_shell7.mtx,504855,16,0.901461,50.564528,751621,751138,751403.750000,567659,563359,565429.062500,11686.070312,11605.984375,11645.160156
af_shell7.mtx,504855,32,0.812531,41.048765,455935,455428,455697.187500,283990,281341,282714.531250,6320.945312,6259.820312,6291.304565
af_shell7.mtx,504855,64,0.486612,34.632206,248784,248433,248610.718750,142158,140577,141357.265625,3284.117188,3250.078125,3267.307312
af_shell7.mtx,504855,128,0.385523,219.228983,129170,128809,128987.015625,71112,70233,70678.632812,1670.972656,1650.945312,1661.087189
bcsstk15.mtx,3948,1,0.076771,0.002861,0,0,0.000000,60882,60882,60882.000000,790.574219,790.574219,790.574219
bcsstk15.mtx,3948,2,0.037670,0.227690,3726,3726,3726.000000,31424,29458,30441.000000,429.882812,404.359375,417.121094
bcsstk15.mtx,3948,4,0.020981,0.332832,5512,5450,5467.500000,15814,14526,15220.500000,238.128906,219.976562,229.682617
bcsstk15.mtx,3948,8,0.010967,0.418186,5926,5840,5868.500000,7969,7246,7610.250000,138.996094,127.542969,133.210938
bcsstk15.mtx,3948,16,0.005722,0.571966,4677,4571,4620.250000,4047,3542,3805.125000,80.406250,71.531250,76.486328
bcsstk15.mtx,3948,32,0.003099,0.671148,3087,2818,2938.312500,2099,1745,1902.562500,46.445312,38.289062,41.925903
bcsstk15.mtx,3948,64,0.001669,1.439810,1742,1499,1633.125000,1079,826,951.281250,24.734375,19.144531,21.925659
bcsstk15.mtx,3948,128,0.001431,422.796726,938,729,861.437500,565,376,475.640625,13.277344,8.710938,11.227722
torso3.mtx,259156,1,4.300594,0.009298,0,0,0.000000,4429042,4429042,4429042.000000,56964.480469,56964.480469,56964.480469
torso3.mtx,259156,2,2.714634,11.729717,259156,259156,259156.000000,2214692,2214350,2214521.000000,30002.738281,29998.730469,30000.734375
torso3.mtx,259156,4,1.409769,15.142202,369082,368565,368817.500000,1107547,1106971,1107260.500000,16406.238281,16398.878906,16402.163086
torso3.mtx,259156,8,0.757694,18.106699,379494,378614,379041.250000,553801,553477,553630.250000,9348.531250,9337.292969,9341.508301
torso3.mtx,259156,16,0.547171,17.690659,308767,307184,308022.500000,276927,276711,276815.125000,5370.726562,5359.855469,5365.103027
torso3.mtx,259156,32,0.201941,15.390158,179202,178223,178804.187500,138539,138292,138407.562500,2833.167969,2823.562500,2827.824585
torso3.mtx,259156,64,0.269890,15.474081,105811,105261,105513.906250,69393,69080,69203.781250,1512.648438,1505.656250,1508.319397
torso3.mtx,259156,128,0.299931,229.388952,60684,60218,60475.421875,34713,34479,34601.890625,802.257812,796.292969,799.387054
