matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,C-N,41967737,409353,5357,478
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,C-N,6956156830,95034290,814835,220467
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,C-N,3846295611,44975321,488015,128671
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,C-N,103254155,979043,9745,1191
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,C-N,19102128326,265358616,2243415,516198
bayer03.mtx,6747,6747,56196,-O3,1,1,static,C-N,42729715,423583,6629,780
bayer03.mtx,6747,6747,56196,-O3,1,1,dynamic,C-N,42851140,420844,6379,1009
bayer03.mtx,6747,6747,56196,-O3,1,1,guided,C-N,42730027,421609,5989,392
bayer03.mtx,6747,6747,56196,-O3,1,10,static,C-N,42729716,421496,6357,843
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,C-N,42741845,420861,6114,424
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,C-N,42730029,420592,6204,959
bayer03.mtx,6747,6747,56196,-O3,1,100,static,C-N,42729718,420742,6753,417
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,C-N,42730920,419969,6813,688
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,C-N,42730030,422320,5892,726
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,C-N,42729717,422122,5743,422
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,C-N,42729822,420029,5960,761
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,C-N,42730031,419062,6615,387
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,C-N,42729720,420749,6645,735
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,C-N,42729715,421158,6089,720
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,C-N,42730031,422757,5722,675
bayer03.mtx,6747,6747,56196,-O3,2,1,static,C-N,42903648,435052,6970,776
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,C-N,42856224,444568,6635,812
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,C-N,42744204,423290,7454,1035
