matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,C-N,41969059,419207,3143,795
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,C-N,6956395907,95323394,444053,291172
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,C-N,3846378253,45712410,287042,194456
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,C-N,103256880,979206,5969,1709
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,C-N,19102605137,266966851,1103847,855243
bayer03.mtx,6747,6747,56196,-O3,1,1,static,C-N,42749642,416186,4049,644
bayer03.mtx,6747,6747,56196,-O3,1,1,dynamic,C-N,42864320,417039,3861,984
bayer03.mtx,6747,6747,56196,-O3,1,1,guided,C-N,42749954,414063,3748,775
bayer03.mtx,6747,6747,56196,-O3,1,10,static,C-N,42749642,414495,3898,543
bayer03.mtx,6747,6747,56196,-O3,1,10,dynamic,C-N,42761097,413575,3915,420
bayer03.mtx,6747,6747,56196,-O3,1,10,guided,C-N,42749955,414155,3612,433
bayer03.mtx,6747,6747,56196,-O3,1,100,static,C-N,42749643,415128,3666,587
bayer03.mtx,6747,6747,56196,-O3,1,100,dynamic,C-N,42750779,414509,3960,501
bayer03.mtx,6747,6747,56196,-O3,1,100,guided,C-N,42749955,414686,3760,571
bayer03.mtx,6747,6747,56196,-O3,1,1000,static,C-N,42749644,415658,3750,457
bayer03.mtx,6747,6747,56196,-O3,1,1000,dynamic,C-N,42749742,417113,3768,600
bayer03.mtx,6747,6747,56196,-O3,1,1000,guided,C-N,42749956,415733,3951,423
bayer03.mtx,6747,6747,56196,-O3,1,10000,static,C-N,42749646,413785,3835,403
bayer03.mtx,6747,6747,56196,-O3,1,10000,dynamic,C-N,42749642,414453,3479,447
bayer03.mtx,6747,6747,56196,-O3,1,10000,guided,C-N,42749958,416258,3795,430
bayer03.mtx,6747,6747,56196,-O3,2,1,static,C-N,42920904,432642,5965,2604
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,C-N,42873401,461315,25063,21686
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,C-N,42758776,419455,4407,1141
bayer03.mtx,6747,6747,56196,-O3,2,10,static,C-N,42772847,422692,5137,1840
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,C-N,42769743,429345,11134,8159
