matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,exec_time
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.072002
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.072002
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.051975
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.047922
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.048161
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.025988
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.023127
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.024080
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.060081
1138_bus.mtx,1138,1138,2596,-O0,Nan,Nan,Nan,0.047922
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.056028
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.030041
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.030041
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.020027
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.061035
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.034094
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.035048
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.043154
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.051975
bcsstm21.mtx,3600,3600,3600,-O0,Nan,Nan,Nan,0.029802
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O0,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000954
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000954
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000954
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000954
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000954
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000954
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000954
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000954
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000000
Trec5.mtx,3,7,12,-O0,Nan,Nan,Nan,0.000954
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.337000
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,4.987955
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.120993
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.125999
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.114079
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,4.904032
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.012035
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,4.987001
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,5.010128
twotone.mtx,120750,120750,1224224,-O0,Nan,Nan,Nan,4.950047
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.035048
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.035048
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.026941
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.017881
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.024080
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.013828
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.010014
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.010014
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.010014
1138_bus.mtx,1138,1138,2596,-O1,Nan,Nan,Nan,0.010014
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.017881
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.013113
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.005960
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.006199
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.005960
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.005007
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.012875
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.009060
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.008106
bcsstm21.mtx,3600,3600,3600,-O1,Nan,Nan,Nan,0.010967
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000954
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
cage3.mtx,5,5,19,-O1,Nan,Nan,Nan,0.000000
slide_matrix.mtx,6,6,8,-O1,Nan,Nan,Nan,0.000000
