matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,exec_time
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.081062
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.080109
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.079155
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.078917
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.078917
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.079155
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.077963
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.077963
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.077963
bayer03.mtx,6747,6747,56196,-O3,Nan,Nan,Nan,0.077963
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,10.462999
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.929968
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.880138
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.841991
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.821964
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.806944
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.810043
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.787155
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.761883
cage13.mtx,445315,445315,7479343,-O3,Nan,Nan,Nan,8.801937
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,10.524988
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.144928
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.117033
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.045031
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,6.992102
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,6.996155
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.050037
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.050991
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.044792
G3_circuit.mtx,1585478,1585478,4623152,-O3,Nan,Nan,Nan,7.062912
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.138044
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.136852
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.144005
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.134945
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
memplus.mtx,17758,17758,126150,-O3,Nan,Nan,Nan,0.135899
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,40.197134
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,32.318830
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,33.100128
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,32.394886
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.555891
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.302929
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.280994
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.148911
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.124115
rajat31.mtx,4690002,4690002,20316253,-O3,Nan,Nan,Nan,31.150818
bayer03.mtx,6747,6747,56196,-O3,1,1,static,0.069857
bayer03.mtx,6747,6747,56196,-O3,1,1,static,0.054836
bayer03.mtx,6747,6747,56196,-O3,1,1,static,0.051975
bayer03.mtx,6747,6747,56196,-O3,1,1,static,0.051022
